"","pl_101","pl_102","pl_104","pl_106","pl_107","pl_111","pl_112","pl_113","pl_118","pl_119"
"Trnat-agu_1",0,0,0,0,0,0,0,0,0,0
"LOC111322000",6,8,5,0,5,9,2,3,4,3
"LOC111322101",8,5,1,5,4,4,2,2,2,3
"LOC111321550",2,6,0,2,3,2,2,2,2,2
"LOC111321360",0,0,0,0,0,0,0,2,1,0
"LOC111321352",25,19,2,9,7,6,6,15,18,16
"LOC111321419",6,7,5,3,3,11,6,12,6,6
"LOC111322037",119,86,39,15,40,49,46,65,83,55
"LOC111322047",4,1,0,1,2,1,3,5,4,4
"LOC111322069",10,19,9,3,8,7,6,13,7,10
"LOC111321759",65,33,31,22,26,20,3,18,13,9
"LOC111321770",437,487,94,56,118,238,171,340,235,284
"LOC111321401",24,26,8,6,7,6,9,11,8,8
"LOC111321496",105,64,36,40,70,76,66,107,85,93
"LOC111321411",132,141,55,28,69,71,73,71,79,100
"LOC111321094",0,1,0,0,0,0,0,0,0,0
"LOC111321105",0,0,0,0,0,0,0,0,0,0
"LOC111321119",0,0,0,0,0,0,0,0,1,0
"LOC111321486",0,2,0,0,0,0,0,0,0,2
"LOC111321145",1,0,0,0,0,0,0,0,0,0
"LOC111321156",0,0,0,1,0,0,0,0,0,0
"LOC111321339",136,136,68,38,58,79,83,110,82,125
"LOC111321371",8,11,2,0,3,2,4,4,2,8
"LOC111321588",18,11,5,1,9,12,2,13,7,14
"LOC111321603",22,22,7,0,3,11,5,15,8,20
"LOC111321611",37,27,12,6,5,27,13,20,11,27
"LOC111321576",13,13,4,3,5,12,5,5,7,11
"LOC111321740",113,102,42,27,50,76,35,110,46,51
"LOC111321653",26,22,13,7,21,15,27,30,20,25
"LOC111321843",50,37,26,23,31,6,16,12,12,1
"LOC111321891",18,25,12,12,26,14,30,28,41,27
"LOC111321851",31,36,17,11,12,6,9,15,14,14
"LOC111321900",50,47,23,17,10,30,24,33,25,39
"LOC111321884",21,10,8,6,11,8,6,8,15,9
"LOC111320690",0,0,0,0,1,1,0,1,0,1
"LOC111321660",2,3,1,1,2,0,1,4,5,3
"LOC111320715",29,35,12,10,15,16,6,13,12,17
"LOC111321183",34,34,11,3,15,11,12,20,30,20
"LOC111322245",9,7,4,8,4,2,1,1,2,1
"LOC111322235",44,44,17,20,28,21,19,23,24,21
"LOC111321524",46,50,30,11,20,29,24,34,31,35
"LOC111321972",19,15,3,3,10,3,11,11,11,10
"LOC111321986",2,2,0,1,0,1,0,0,1,1
"LOC111321192",16,24,4,5,7,6,11,13,17,12
"LOC111321442",10,18,2,3,6,9,4,5,8,9
"LOC111321569",4,3,0,0,0,0,1,4,0,0
"LOC111322148",68,78,29,18,24,36,27,57,26,45
"LOC111321908",21,14,3,1,7,3,8,7,8,13
"LOC111321932",0,0,0,0,0,1,0,0,0,4
"LOC111320701",2,4,1,3,0,0,2,2,6,7
"LOC111322271",8,5,5,7,13,10,13,14,9,6
"LOC111322009",2,6,8,1,3,8,2,9,9,1
"LOC111321384",16,20,19,9,11,11,13,17,30,20
"LOC111321207",0,0,0,0,0,0,0,0,0,0
"LOC111320880",8,13,4,1,4,4,8,8,8,7
"LOC111320887",39,36,15,2,10,5,12,27,13,15
"LOC111321217",0,0,0,0,0,0,0,0,0,0
"LOC111322623",3,6,1,0,0,2,1,3,1,2
"LOC111322633",21,20,4,4,7,3,7,16,15,13
"Trnay-gua",0,0,0,0,0,0,0,0,0,0
"LOC111323947",4,3,1,1,0,0,1,3,2,1
"LOC111324186",84,76,23,25,62,45,84,138,94,130
"LOC111322640",0,0,0,0,0,0,0,1,0,0
"LOC111324222",26,16,2,3,9,17,7,25,16,17
"LOC111324231",25,17,8,0,9,16,10,9,5,11
"LOC111322649",0,0,0,0,0,0,0,0,0,0
"LOC111322655",0,0,0,1,0,0,2,4,0,3
"LOC111322665",30,23,7,5,3,13,15,8,13,18
"LOC111322683",132,92,40,12,57,69,94,116,98,94
"LOC111324146",0,1,0,0,0,1,0,2,0,1
"LOC111322691",0,0,0,0,0,0,0,0,0,0
"LOC111323360",178,173,52,31,51,52,49,90,74,95
"LOC111323349",18,4,3,2,3,3,1,3,3,3
"LOC111323709",13,16,3,5,1,14,5,17,10,7
"LOC111322699",0,0,0,0,0,0,0,0,0,0
"LOC111324335",0,0,0,0,0,0,0,0,0,0
"LOC111323839",0,0,0,0,0,1,0,0,0,0
"LOC111323788",2,2,0,0,2,1,2,5,3,6
"LOC111322327",22,36,10,7,13,14,13,11,12,14
"LOC111322319",25,24,14,9,11,10,12,17,34,19
"LOC111322706",0,1,0,0,0,0,0,0,0,0
"LOC111322309",3,2,1,2,2,2,1,4,4,5
"LOC111322713",0,0,0,0,0,0,0,0,1,0
"LOC111323877",4,6,3,1,0,2,2,3,1,2
"LOC111322722",1,2,0,1,0,0,2,3,1,1
"LOC111323085",152,121,49,18,51,49,65,74,48,76
"LOC111323095",1,4,0,1,1,2,1,0,2,3
"LOC111322427",24,30,11,5,14,10,4,12,10,20
"LOC111322435",1,6,0,1,1,1,1,0,3,2
"LOC111322442",104,86,38,31,41,58,33,72,60,54
"LOC111323124",206,161,96,62,159,133,157,278,197,185
"LOC111322980",73,74,31,19,30,32,31,52,29,43
"LOC111322524",127,105,37,13,32,44,43,75,44,50
"LOC111322504",5,2,0,0,1,1,4,4,1,0
"LOC111322491",16,20,6,3,8,3,10,21,13,21
"Trnat-agu_2",0,0,0,0,0,0,0,0,0,0
"LOC111323074",90,97,42,15,23,41,73,118,57,90
"LOC111323068",12,12,2,3,6,6,4,11,10,10
"LOC111322730",45,35,28,16,27,22,46,55,52,41
"Trnat-agu_3",0,0,0,0,0,0,0,0,0,0
"Trnat-agu_4",0,0,0,0,0,0,0,0,0,0
"LOC111323442",5,5,1,0,0,1,4,2,2,2
"LOC111323428",3,7,1,9,8,4,7,3,9,3
"Trnat-ugu_1",0,0,0,0,0,0,0,0,0,0
"LOC111323529",6,4,0,0,7,3,3,8,2,2
"LOC111323512",2,3,2,1,5,2,2,7,2,4
"LOC111323520",7,5,6,0,1,0,3,0,1,6
