no,area µm²,perimeter µm,area_mm²,perim_mm,Volume mm³,morph,file name,,if error to check for bad imaging,
139,739469.925,3777.059,0.7395,3.7771,0.2748,NF,01-04-2025-1739_Stemi 305_0.8x_NF-06,,0.2748,
140,579017.112,3269.925,0.5790,3.2699,0.1971,NF,01-04-2025-1739_Stemi 305_0.8x_NF-05,,0.1971,
141,785550.187,3324.711,0.7856,3.3247,0.4057,NF,01-04-2025-1739_Stemi 305_0.8x_NF-05,,0.4057,
142,777965.409,4014.192,0.7780,4.0142,0.2810,NF,01-04-2025-1739_Stemi 305_0.8x_NF-04,,0.2810,
143,658954.517,3794.65,0.6590,3.7947,0.2107,NF,01-04-2025-1739_Stemi 305_0.8x_NF-04,,0.2107,
144,905024.18,4488.613,0.9050,4.4886,0.3347,NF,01-04-2025-1739_Stemi 305_0.8x_NF-04,,0.3347,
145,784774.378,3310.022,0.7848,3.3100,0.4093,NF,01-04-2025-1739_Stemi 305_0.8x_NF-04,,0.4093,
146,728078.306,3661.924,0.7281,3.6619,0.2786,NF,01-04-2025-1739_Stemi 305_0.8x_NF-03,,0.2786,
147,654895.997,3727.379,0.6549,3.7274,0.2133,NF,01-04-2025-1739_Stemi 305_0.8x_NF-03,,0.2133,
148,1398037.395,5358.549,1.3980,5.3585,0.6812,NF,01-04-2025-1739_Stemi 305_0.8x_NF-02,,0.6812,
149,698764.17,3069.557,0.6988,3.0696,0.3612,NF,01-04-2025-1739_Stemi 305_0.8x_NF,,0.3612,
150,854735.912,3825.797,0.8547,3.8258,0.3766,NF,01-04-2025-1739_Stemi 305_0.8x_NF,,0.3766,
151,711543.789,4108.844,0.7115,4.1088,0.2232,NF,01-04-2025-1739_Stemi 305_0.8x_NF,,0.2232,
152,1108423.127,5082.179,1.1084,5.0822,0.4393,NF,01-04-2025-1738_Stemi 305_0.8x_NF-02,,0.4393,
153,750168.13,3228.161,0.7502,3.2282,0.3850,NF,01-04-2025-1738_Stemi 305_0.8x_NF-02,,0.3850,
154,740700.671,4461.036,0.7407,4.4610,0.2181,NF,01-04-2025-1738_Stemi 305_0.8x_NF,,0.2181,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
