ID,Description,p.adjust,mean_logFC,n_genes_matched,contrast,z_logFC,Description_ordered
GO:0008237,metallopeptidase activity,7.235736509537192e-5,2.1563295573754138,13,FLvNF,0.040249698366143345,metallopeptidase activity
GO:0008406,gonad development,0.0278811573179581,2.23790327511785,13,FLvNF,0.2049764860399925,gonad development
GO:0008643,carbohydrate transport,0.02071329222925609,1.5489775581507725,4,FLvNF,-1.186213267750684,carbohydrate transport
GO:0009611,response to wounding,9.6671724414308e-4,2.106474840580248,22,FLvNF,-0.06042497449831148,response to wounding
GO:0009725,response to hormone,0.00214359050219595,2.0670463163979336,28,FLvNF,-0.14004540018223918,response to hormone
GO:0009986,cell surface,0.02262800883847754,2.160962890056509,16,FLvNF,0.049606069877748855,cell surface
GO:0010001,glial cell differentiation,0.02262800883847754,2.0627396629461883,10,FLvNF,-0.14874208838481012,glial cell differentiation
GO:0010038,response to metal ion,0.0448196635976944,2.5482664848667884,14,FLvNF,0.8317118607290802,response to metal ion
GO:0010469,regulation of signaling receptor activity,0.00974099214530295,2.194021011718768,9,FLvNF,0.11636235288975037,regulation of signaling receptor activity
GO:0010575,positive regulation of vascular endothelial growth factor production,0.03029287961713511,2.807110115262083,3,FLvNF,1.3544106039625594,positive regulation of vascular endothelial growth factor production
GO:0010884,positive regulation of lipid storage,0.0448196635976944,2.45047039068873,4,FLvNF,0.6342262380697584,positive regulation of lipid storage
GO:0015026,coreceptor activity,0.0448196635976944,2.267995532398688,4,FLvNF,0.2657436180637996,coreceptor activity
GO:0015718,monocarboxylic acid transport,0.01893595453131025,1.9298480516765586,7,FLvNF,-0.41709823101357685,monocarboxylic acid transport
GO:0015850,organic hydroxy compound transport,0.02891178459340963,1.7740174435169782,6,FLvNF,-0.731776490308313,organic hydroxy compound transport
GO:0016485,protein processing,0.03904255708490747,2.4787778407803134,9,FLvNF,0.6913891999878048,protein processing
GO:0017171,serine hydrolase activity,5.9466690059932125e-5,2.51818261790471,11,FLvNF,0.770961671788107,serine hydrolase activity
GO:0019432,triglyceride biosynthetic process,0.03312864458698161,1.79958945483651,4,FLvNF,-0.6801373668797827,triglyceride biosynthetic process
GO:0019838,growth factor binding,1.7649249252962887e-5,2.1743422882509913,13,FLvNF,0.07662390535933353,growth factor binding
GO:0021675,nerve development,0.02417471332456068,2.4871714181766156,7,FLvNF,0.7083388631863157,nerve development
GO:0021782,glial cell development,0.04069010908187207,2.1516354671474143,7,FLvNF,0.030770635431301697,glial cell development
GO:0022407,regulation of cell-cell adhesion,0.03233021845955693,1.9369917771838556,11,FLvNF,-0.40267247002820244,regulation of cell-cell adhesion
GO:0022408,negative regulation of cell-cell adhesion,0.01073807367610462,2.1190952225660324,8,FLvNF,-0.03493986677894507,negative regulation of cell-cell adhesion
